cable_id,nombre_completo,rfs_year,estado,length_km,primary_route,chokepoints,riesgo,supplier,capacity_tbps,actores_clave,fuente_principal
SMW3,SEA-ME-WE 3,1999,Retirado 2024-12-02,39000,Alemania-Europa-Suez-Mar Rojo-SE Asiático-Australia,"Mar Rojo; Bab el-Mandeb; Suez; Malaca; Canal de la Mancha",Alto (histórico),ASN + Fujitsu,n.a.,Consorcio 92 operadores,https://www.submarinenetworks.com/en/systems/asia-australia/smw3/smw3-retire
SMW4,SEA-ME-WE 4,2005,Activo,18800,Singapur-India-Egipto-Francia,"Mar Rojo; Bab el-Mandeb; Suez; Malaca",Alto,ASN + Fujitsu,4.6,Consorcio 16 operadores; Tata; Telecom Egypt,https://apnews.com/article/red-sea-undersea-cables-cut-internet-disruption-yemen-b79fe7b9764647ac0851b9390a313e70
SMW5,SEA-ME-WE 5,2016,Activo,20000,Singapur-Bangladesh-Egipto-Turquía-Francia,"Mar Rojo; Bab el-Mandeb; Suez; Malaca",Alto,ASN + NEC,38,Consorcio 19 operadores,https://www.telecoms.com/telecoms-infrastructure/red-sea-cable-cuts-impact-was-severely-underestimated-
SMW6,SEA-ME-WE 6,2026 (esperado),En despliegue,21700,Singapur-India-EAU-Egipto-Francia (Marsella),"Mar Rojo; Bab el-Mandeb; Suez; Malaca",Alto,SubCom,126,"Telecom Egypt; SubCom; Bharti Airtel; Orange",https://meatechwatch.com/2025/07/03/telecom-egypt-and-subcom-complete-dual-landings-for-sea-me-we-6-subsea-cable-on-egypts-coasts/
AAE-1,Asia-Africa-Europe 1,2017,Activo,25000,Hong Kong-Vietnam-India-Egipto-Francia,"Mar Rojo; Bab el-Mandeb; Suez; Malaca; Ormuz",Alto,NEC + SubCom,100,"China Unicom; Reliance Jio; Mobily; Omantel; PCCW; Telecom Egypt; Viettel",https://www.submarinenetworks.com/en/systems/asia-europe-africa/peace/peace-cable-cut-in-the-red-sea,-repair-to-be-prolonged
IMEWE,India-Middle East-Western Europe,2010,Activo,12091,Mumbai-EAU-Egipto-Francia (Marsella),"Mar Rojo; Suez",Alto,ASN + NEC,3.84,"Bharti Airtel; Orange; PTCL; Sparkle; Tata; Telecom Egypt; center3; e&",https://apnews.com/article/red-sea-undersea-cables-cut-internet-disruption-yemen-b79fe7b9764647ac0851b9390a313e70
EIG,Europe India Gateway,2011,Activo,15000,Reino Unido-Portugal-Egipto-EAU-India,"Mar Rojo; Bab el-Mandeb; Suez; Ormuz; Canal de la Mancha",Alto,TE SubCom + ASN,3.84,"AT&T; BT; BSNL; Bharti Airtel; Verizon; Vodafone; Telecom Egypt",https://www.csis.org/analysis/strategic-future-subsea-cables-egypt-case-study
SEACOM,SEACOM / Tata TGN-Eurasia,2009,Activo,17000,Sudáfrica-Kenia-Egipto-India,"Mar Rojo; Bab el-Mandeb; Suez",Alto,SubCom,1.5,"Industrial Promotion Services; Remgro; Sanlam; Convergence Partners",https://www.bbc.com/news/world-middle-east-68478828
2Africa,2Africa (Meta consortium),2025-11 (núcleo),Operativo; Mar Rojo pendiente,45000,Circunnavegación África + Europa,"Mar Rojo (pendiente); Bab el-Mandeb; Suez",Medio,ASN,180,"Meta; China Mobile; Bayobab (MTN); Orange; Telecom Egypt; Vodafone; WIOCC; center3",https://engineering.fb.com/2025/11/17/connectivity/core-2africa-system-completion-future-connectivity/
PEACE,Pakistan East Africa Connecting Europe,2022,Activo,25000,Singapur-Pakistán-Egipto-Francia,"Mar Rojo; Bab el-Mandeb; Suez; Malaca",Alto,HMN Tech,24,"PEACE Cable Intl Network (Hong Kong); Hengtong; Orange",https://www.csis.org/analysis/strategic-future-subsea-cables-egypt-case-study
BCS-EWI,BCS East-West Interlink,1997,Activo,218,Sventoji (Lituania) - Gotland (Suecia),Mar Báltico,Alto,Ericsson,n.a.,"Arelion; Telia Lietuva",https://www.reuters.com/world/europe/quite-high-probability-that-baltic-sea-cables-were-cut-intentionally-lithuania-2024-12-06/
C-Lion1,C-Lion1,2016,Activo,1173,Helsinki - Rostock,Mar Báltico,Alto,ASN,n.a.,"Cinia Oy (estatal FI); NBI FI; Policía sueca; OTAN Baltic Sentry",https://www.cinia.fi/en/news/a-fault-in-the-cinia-c-lion1-submarine-cable-between-finland-and-germany
